t: 0 , 30 , 0 , -0.430108 , 0 , 1.27642 , 0 , -2.13664 , -5.86235e-05
t: 0.01 , 30 , 0 , -0.430108 , -3.90823e-05 , 1.27642 , 7.81646e-05 , -2.13664 , -7.81646e-05
t: 0.02 , 30 , 0 , -0.430108 , -0.000390823 , 1.27642 , 0.000527611 , -2.13664 , -0.000273576
t: 0.03 , 30 , 0 , -0.430108 , -0.00134834 , 1.27642 , 0.0014265 , -2.13664 , -0.00140696
t: 0.04 , 30 , 0 , -0.430108 , -0.00306796 , 1.27642 , 0.00328291 , -2.13664 , -0.0029898
t: 0.05 , 30 , 0 , -0.430108 , -0.00529565 , 1.27642 , 0.00525657 , -2.13664 , -0.00535428
t: 0.06 , 30 , 0 , -0.430108 , -0.00820729 , 1.27642 , 0.00836362 , -2.13664 , -0.00848086
t: 0.07 , 30 , 0 , -0.430108 , -0.0114902 , 1.27642 , 0.0119201 , -2.13664 , -0.0124086
t: 0.08 , 30 , 0 , -0.430108 , -0.0157502 , 1.27642 , 0.0160237 , -2.13664 , -0.0169226
t: 0.09 , 30 , 0 , -0.430108 , -0.0201079 , 1.27642 , 0.0207136 , -2.13664 , -0.0221401
t: 0.1 , 30 , 0 , -0.430108 , -0.0249736 , 1.27642 , 0.0259702 , -2.13664 , -0.0274553
t: 0 , 30 , 1 , -0.464498 , -0.0318912 , 1.29336 , 0.0330441 , -2.11918 , -0.0339625
t: 0.01 , 30 , 1 , -0.464498 , -0.0373627 , 1.29336 , 0.0383788 , -2.11918 , -0.038711
t: 0.02 , 30 , 1 , -0.464498 , -0.0449056 , 1.29336 , 0.0454332 , -2.11918 , -0.0457458
t: 0.03 , 30 , 1 , -0.464498 , -0.0527416 , 1.29336 , 0.0530738 , -2.11918 , -0.0538945
t: 0.04 , 30 , 1 , -0.464498 , -0.060558 , 1.29336 , 0.0614569 , -2.11918 , -0.063157
t: 0.05 , 30 , 1 , -0.464498 , -0.0689217 , 1.29336 , 0.0703482 , -2.11918 , -0.072869
t: 0.06 , 30 , 1 , -0.464498 , -0.0785359 , 1.29336 , 0.0807636 , -2.11918 , -0.081174
t: 0.07 , 30 , 1 , -0.464498 , -0.089264 , 1.29336 , 0.0898893 , -2.11918 , -0.0915308
